ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE
69094.0,0.0,031,S,17031070103,+41.9268110,-087.6426051,G5020,701.03,Census Tract 701.03,17,070103
69878.0,0.0,031,S,17031030701,+41.9827453,-087.6579659,G5020,307.01,Census Tract 307.01,17,030701
122359.0,115695.0,031,S,17031030101,+41.9913475,-087.6550420,G5020,301.01,Census Tract 301.01,17,030101
1528033.0,0.0,031,S,17031807100,+42.0444535,-087.7210786,G5020,8071,Census Tract 8071,17,807100
2489125.0,0.0,031,S,17031807200,+42.0371751,-087.7285103,G5020,8072,Census Tract 8072,17,807200
988887.0,0.0,031,S,17031807500,+42.0279578,-087.7281380,G5020,8075,Census Tract 8075,17,807500
1396762.0,0.0,031,S,17031807400,+42.0281935,-087.7398439,G5020,8074,Census Tract 8074,17,807400
2037391.0,0.0,031,S,17031807300,+42.0337614,-087.7549133,G5020,8073,Census Tract 8073,17,807300
1697094.0,0.0,031,S,17031807700,+42.0207639,-087.7542195,G5020,8077,Census Tract 8077,17,807700
2013731.0,0.0,031,S,17031807900,+42.0041886,-087.7487798,G5020,8079,Census Tract 8079,17,807900
2202703.0,0.0,031,S,17031808001,+42.0070209,-087.7354065,G5020,8080.01,Census Tract 8080.01,17,808001
2754904.0,0.0,031,S,17031808002,+42.0050636,-087.7194386,G5020,8080.02,Census Tract 8080.02,17,808002
940549.0,784592.0,031,S,17031808702,+42.0582040,-087.6718922,G5020,8087.02,Census Tract 8087.02,17,808702
3812730.0,0.0,031,S,17031808600,+42.0602335,-087.7856085,G5020,8086,Census Tract 8086,17,808600
1390534.0,0.0,031,S,17031808302,+42.0322813,-087.7667893,G5020,8083.02,Census Tract 8083.02,17,808302
3827249.0,0.0,031,S,17031808301,+42.0333408,-087.7851412,G5020,8083.01,Census Tract 8083.01,17,808301
10961789.0,868307.0,031,S,17031770202,+42.0286697,-088.0219089,G5020,7702.02,Census Tract 7702.02,17,770202
5389805.0,153161.0,031,S,17031770602,+42.0119110,-087.9074973,G5020,7706.02,Census Tract 7706.02,17,770602
4653396.0,67321.0,031,S,17031806104,+42.0607519,-087.8787477,G5020,8061.04,Census Tract 8061.04,17,806104
7053775.0,44923.0,031,S,17031802505,+42.1222750,-087.9126363,G5020,8025.05,Census Tract 8025.05,17,802505
2546115.0,0.0,031,S,17031802404,+42.1477377,-087.9440032,G5020,8024.04,Census Tract 8024.04,17,802404
2969425.0,0.0,031,S,17031803017,+42.1191707,-087.9982585,G5020,8030.17,Census Tract 8030.17,17,803017
2293038.0,31464.0,031,S,17031804714,+42.0630032,-088.0935439,G5020,8047.14,Census Tract 8047.14,17,804714
12078702.0,17262.0,031,S,17031804311,+42.0588329,-088.2128426,G5020,8043.11,Census Tract 8043.11,17,804311
10846134.0,0.0,031,S,17031804310,+42.0325511,-088.2014562,G5020,8043.10,Census Tract 8043.10,17,804310
4208235.0,132403.0,031,S,17031804403,+42.0512645,-088.2424156,G5020,8044.03,Census Tract 8044.03,17,804403
7065694.0,41081.0,031,S,17031804406,+42.0174771,-088.2561802,G5020,8044.06,Census Tract 8044.06,17,804406
2318920.0,0.0,031,S,17031804716,+42.0420776,-088.1142037,G5020,8047.16,Census Tract 8047.16,17,804716
3478477.0,0.0,031,S,17031820606,+41.7377576,-087.8542653,G5020,8206.06,Census Tract 8206.06,17,820606
2946254.0,0.0,031,S,17031820604,+41.7498417,-087.8269387,G5020,8206.04,Census Tract 8206.04,17,820604
8013258.0,1301442.0,031,S,17031824116,+41.6109264,-087.8653784,G5020,8241.16,Census Tract 8241.16,17,824116
6128328.0,130164.0,031,S,17031824114,+41.6192003,-087.8801208,G5020,8241.14,Census Tract 8241.14,17,824114
2911821.0,324.0,031,S,17031823806,+41.6870976,-087.8045212,G5020,8238.06,Census Tract 8238.06,17,823806
3802854.0,0.0,031,S,17031824003,+41.6636061,-087.9857342,G5020,8240.03,Census Tract 8240.03,17,824003
11030058.0,297887.0,031,S,17031824005,+41.6625965,-088.0163045,G5020,8240.05,Census Tract 8240.05,17,824005
3983278.0,0.0,031,S,17031824122,+41.5799161,-087.8178587,G5020,8241.22,Census Tract 8241.22,17,824122
6347474.0,0.0,031,S,17031824117,+41.5694944,-087.8379951,G5020,8241.17,Census Tract 8241.17,17,824117
627820.0,0.0,031,S,17031806201,+42.0454459,-087.8897882,G5020,8062.01,Census Tract 8062.01,17,806201
3703826.0,0.0,031,S,17031802506,+42.1299534,-087.8977629,G5020,8025.06,Census Tract 8025.06,17,802506
4979781.0,43776.0,031,S,17031804506,+42.0039298,-088.1954468,G5020,8045.06,Census Tract 8045.06,17,804506
7670485.0,43640.0,031,S,17031824119,+41.5818532,-087.8994894,G5020,8241.19,Census Tract 8241.19,17,824119
15467289.0,88522.0,031,S,17031824120,+41.5797867,-087.8729198,G5020,8241.20,Census Tract 8241.20,17,824120
17863250.0,3802983.0,031,S,17031838800,+41.6834042,-087.5740611,G5020,8388,Census Tract 8388,17,838800
1871784.0,0.0,031,S,17031842300,+41.9090015,-087.6606908,G5020,8423,Census Tract 8423,17,842300
164712.0,0.0,031,S,17031836900,+41.8818831,-087.7061362,G5020,8369,Census Tract 8369,17,836900
262139.0,0.0,031,S,17031839500,+41.8340975,-087.6192919,G5020,8395,Census Tract 8395,17,839500
284425.0,0.0,031,S,17031835800,+41.8130462,-087.6187192,G5020,8358,Census Tract 8358,17,835800
324322.0,0.0,031,S,17031831900,+41.9451690,-087.6687907,G5020,8319,Census Tract 8319,17,831900
625407.0,0.0,031,S,17031841200,+41.8555618,-087.6833420,G5020,8412,Census Tract 8412,17,841200
721630.0,0.0,031,S,17031832600,+41.9147492,-087.6540551,G5020,8326,Census Tract 8326,17,832600
2564522.0,0.0,031,S,17031841900,+41.8678935,-087.6429680,G5020,8419,Census Tract 8419,17,841900
2859237.0,294851.0,031,S,17031843200,+41.8487153,-087.6642169,G5020,8432,Census Tract 8432,17,843200
656213.0,0.0,031,S,17031843400,+41.8493274,-087.7320218,G5020,8434,Census Tract 8434,17,843400
3679417.0,0.0,031,S,17031842600,+41.8162186,-087.6516951,G5020,8426,Census Tract 8426,17,842600
1450980.0,0.0,031,S,17031809000,+42.0597568,-087.7189141,G5020,8090,Census Tract 8090,17,809000
1987423.0,0.0,031,S,17031803300,+42.0850701,-087.9894768,G5020,8033,Census Tract 8033,17,803300
2773986.0,0.0,031,S,17031803200,+42.0988438,-087.9976755,G5020,8032,Census Tract 8032,17,803200
1433914.0,0.0,031,S,17031808900,+42.0665152,-087.7174711,G5020,8089,Census Tract 8089,17,808900
351050.0,0.0,031,S,17031301803,+41.8395497,-087.7278708,G5020,3018.03,Census Tract 3018.03,17,301803
1251056.0,0.0,031,S,17031809100,+42.0593520,-087.7043588,G5020,8091,Census Tract 8091,17,809100
1017701.0,0.0,031,S,17031809300,+42.0579521,-087.6864657,G5020,8093,Census Tract 8093,17,809300
1193253.0,0.0,031,S,17031809200,+42.0525535,-087.6992705,G5020,8092,Census Tract 8092,17,809200
121199.0,0.0,031,S,17031063302,+41.9347647,-087.6398540,G5020,633.02,Census Tract 633.02,17,063302
266386.0,0.0,031,S,17031220701,+41.9261554,-087.7215651,G5020,2207.01,Census Tract 2207.01,17,220701
647921.0,0.0,031,S,17031813301,+41.8621602,-087.7544156,G5020,8133.01,Census Tract 8133.01,17,813301
163782.0,0.0,031,S,17031660301,+41.7799541,-087.6982872,G5020,6603.01,Census Tract 6603.01,17,660301
374768.0,0.0,031,S,17031813702,+41.8551811,-087.7465073,G5020,8137.02,Census Tract 8137.02,17,813702
491837.0,0.0,031,S,17031660302,+41.7835957,-087.6983926,G5020,6603.02,Census Tract 6603.02,17,660302
647220.0,0.0,031,S,17031813302,+41.8622744,-087.7446672,G5020,8133.02,Census Tract 8133.02,17,813302
386790.0,0.0,031,S,17031252201,+41.8766958,-087.7521051,G5020,2522.01,Census Tract 2522.01,17,252201
872692.0,0.0,031,S,17031730202,+41.7264299,-087.6485425,G5020,7302.02,Census Tract 7302.02,17,730202
917505.0,0.0,031,S,17031835600,+41.8018345,-087.6322016,G5020,8356,Census Tract 8356,17,835600
591217.0,0.0,031,S,17031840000,+41.8311713,-087.6382978,G5020,8400,Census Tract 8400,17,840000
1029774.0,0.0,031,S,17031803016,+42.1208172,-087.9865230,G5020,8030.16,Census Tract 8030.16,17,803016
848759.0,0.0,031,S,17031804715,+42.0450218,-088.0977023,G5020,8047.15,Census Tract 8047.15,17,804715
1485728.0,0.0,031,S,17031803701,+42.1190705,-088.0525589,G5020,8037.01,Census Tract 8037.01,17,803701
561476.0,0.0,031,S,17031802403,+42.1418701,-087.9531258,G5020,8024.03,Census Tract 8024.03,17,802403
1214480.0,0.0,031,S,17031804108,+42.0749485,-088.0507852,G5020,8041.08,Census Tract 8041.08,17,804108
190190.0,0.0,031,S,17031835700,+41.8128443,-087.6275978,G5020,8357,Census Tract 8357,17,835700
410894.0,0.0,031,S,17031843600,+41.8067653,-087.6089488,G5020,8436,Census Tract 8436,17,843600
799111.0,867001.0,031,S,17031836400,+41.8190118,-087.5951761,G5020,8364,Census Tract 8364,17,836400
860471.0,0.0,031,S,17031836100,+41.7998052,-087.6186826,G5020,8361,Census Tract 8361,17,836100
1562222.0,0.0,031,S,17031834600,+41.7872463,-087.6343057,G5020,8346,Census Tract 8346,17,834600
113330.0,87128.0,031,S,17031030102,+41.9930264,-087.6550225,G5020,301.02,Census Tract 301.02,17,030102
86632.0,101282.0,031,S,17031030103,+41.9955241,-087.6551527,G5020,301.03,Census Tract 301.03,17,030103
395747.0,186155.0,031,S,17031030706,+41.9804694,-087.6509792,G5020,307.06,Census Tract 307.06,17,030706
276102.0,585774.0,031,S,17031061902,+41.9431822,-087.6358414,G5020,619.02,Census Tract 619.02,17,061902
236592.0,0.0,031,S,17031063303,+41.9347312,-087.6346613,G5020,633.03,Census Tract 633.03,17,063303
142180.0,110657.0,031,S,17031030601,+41.9888802,-087.6549042,G5020,306.01,Census Tract 306.01,17,030601
204332.0,530065.0,031,S,17031081202,+41.9043769,-087.6242374,G5020,812.02,Census Tract 812.02,17,081202
189121.0,0.0,031,S,17031220601,+41.9258252,-087.7128836,G5020,2206.01,Census Tract 2206.01,17,220601
385796.0,0.0,031,S,17031040401,+41.9720667,-087.6860816,G5020,404.01,Census Tract 404.01,17,040401
293288.0,0.0,031,S,17031220901,+41.9191816,-087.7212483,G5020,2209.01,Census Tract 2209.01,17,220901
381387.0,0.0,031,S,17031210602,+41.9341630,-087.7125720,G5020,2106.02,Census Tract 2106.02,17,210602
