precinct_number,precinct_objectid,tract_geoid
7000003,1,17031804202
7000005,2,17031804201
7000002,3,17031804202
7000006,4,17031804201
7000001,5,17031804202
7000010,6,17031804202
7000008,7,17031804201
7000011,8,17031804201
7000007,9,17031804201
7000009,10,17031804201
7000004,11,17031804201
9908003,12,17031814600
9908001,13,17031814700
9908002,14,17031814600
9907004,15,17031814700
9906001,16,17031815000
9907001,17,17031814800
9906004,18,17031814900
9906003,19,17031814900
9906002,20,17031814900
9905001,21,17031815000
9907003,22,17031814800
9903001,23,17031814800
9903003,24,17031815300
9904004,25,17031815100
9907002,26,17031814800
9904003,27,17031815100
9903004,28,17031815300
9905003,29,17031815100
9904002,30,17031815200
9903002,31,17031815300
9903005,32,17031815400
9904001,33,17031815200
9902001,34,17031815200
9901004,35,17031815400
9901001,36,17031815400
9901005,37,17031815400
9901002,38,17031815500
9905002,39,17031814600
9902004,40,17031815200
9901003,41,17031815500
9902003,42,17031815500
9902002,43,17031815500
7100001,44,17031828801
7100020,45,17031828601
7100033,46,17031828701
7100048,47,17031828602
7100045,48,17031828701
7100030,49,17031828602
7100024,50,17031828702
7100058,51,17031828601
7100019,52,17031828602
7100034,53,17031828602
7100042,54,17031828801
7100059,56,17031828801
7100057,57,17031828802
7100050,58,17031828801
7100047,59,17031828601
7100040,60,17031828602
7100055,61,17031828504
7100010,62,17031829700
7100041,63,17031828506
7100014,64,17031828505
7100005,65,17031828505
7100044,66,17031828505
7100036,67,17031828506
7100002,68,17031828601
7100038,69,17031828505
7100018,70,17031828505
7100022,71,17031828506
7100021,72,17031829700
7100029,74,17031829700
7100037,75,17031828702
7100060,76,17031828702
7100006,77,17031829700
7100054,79,17031828900
7100039,80,17031829000
7100061,81,17031829200
7100031,82,17031829301
7100004,84,17031829302
7100025,85,17031829200
7100051,86,17031829302
7100017,87,17031829402
7100052,88,17031829401
7100046,89,17031829100
7100013,90,17031829402
7100008,92,17031829600
7100011,93,17031829600
7100023,94,17031828503
7100027,95,17031828503
7100026,96,17031828504
7100032,97,17031828504
7100007,98,17031829700
7100053,99,17031828504
7100043,100,17031828506
7100016,101,17031828506
7100056,102,17031828802
7100049,103,17031828702
7200053,104,17031824601
7200050,105,17031824506
7200072,106,17031824506
7200058,107,17031824506
7200079,108,17031824505
7200036,109,17031824506
7200076,110,17031824506
7200054,111,17031824601
7200003,112,17031825505
7200042,113,17031824602
7200018,114,17031825000
7200062,115,17031825000
7200020,116,17031824505
7200077,117,17031825400
7200034,118,17031825303
7200067,119,17031825400
7200057,120,17031825400
7200022,121,17031825302
7200009,122,17031825303
7200073,123,17031825303
7200059,124,17031824507
7200046,125,17031824505
7200027,126,17031824505
7200033,127,17031824507
7200069,128,17031824507
7200049,129,17031825503
7200074,130,17031825200
7200024,131,17031825302
7200071,132,17031825501
7200064,133,17031824506
7200011,134,17031824503
7200048,135,17031825501
7200051,136,17031825503
7200026,137,17031825503
7200075,138,17031825503
7200032,139,17031825503
7200029,140,17031825505
7200080,141,17031825505
7200040,142,17031825505
7200070,143,17031825505
7200063,144,17031825504
7200056,145,17031825501
7200068,146,17031824503
7200021,147,17031825600
7200015,148,17031824702
7200006,149,17031824702
7200043,150,17031824800
7200045,151,17031824800
7200060,152,17031824503
7200016,153,17031824503
7200025,154,17031824601
7200030,155,17031824601
7200004,156,17031824602
7200005,157,17031824701
7200028,158,17031824701
7200052,159,17031824702
7200061,160,17031825000
7200012,161,17031824900
7200066,162,17031825503
7200035,163,17031825600
7200007,164,17031825600
7200044,165,17031824900
7200038,166,17031825600
7200039,167,17031825600
7200055,168,17031824800
7200014,169,17031824800
7200065,170,17031824300
7200019,171,17031824300
7200013,172,17031824400
7200023,173,17031824400
7200001,174,17031824300
7200037,175,17031824300
7200017,176,17031824300
7200002,177,17031825302
7200010,178,17031825000
7200041,179,17031824702
7200047,180,17031825501
7200008,181,17031825504
7200078,182,17031825501
7200031,183,17031825501
